id,evaluated_activity_id,course_id,weight,type_Q1,type_Q2,type_Q3,sous_course_ids,teachers_ids
67,3bmsi3B,3bmsi30,65,,O oral,O oral,SI3B-B1-2024,fky; auv; kis; lrg; pch; thn; vlo
68,3bmsi3T,3bmsi30,35,,E écrit,E écrit,SI3T-T1-2024,fky
69,4auai4L,4auat40,33,,C évaluation continue,,AI4L-L1-2023,aif; bjt
70,4auas4L,4auat40,33,,C évaluation continue,,AT4L-L1-2018,rch; aif; bjt; chv
71,4auas4T,4auat40,34,,E écrit,E écrit,AT4T-T1-2018; AT4T-T2-2023,rch
72,4auds4T,4auds40,100,,D écrit + oral,D écrit + oral,DS4T-T1-2016; DS4T-T2-2016,dbr; aif
73,4ause4T,4auet40,33.3,,E écrit,E écrit,SE4T-L1-2016; SE4T-L2-2016,kpr
74,4emet4C,4auet40,66.7,E écrit,,E écrit,ET4L-L1-2016; ET4T-T1-2016,kpr
75,4aumd4L,4aumd40,50,C évaluation continue,,,MD4L-L1-2016,aif
76,4aumd4T,4aumd40,50,E écrit,,E écrit,MD4T-T1-2016,aif
77,4aure4L,4aure40,35,C évaluation continue,,,RE4L-L1-2016,dbr
78,4aure4T,4aure40,65,E écrit,,E écrit,RE4T-T1-2016,dbr
79,4aurg4C,4aurg40,50,E écrit,,E écrit,RG4C-L1-2016; RG4C-T1-2016,dbr
80,4aurg4T,4aurg40,50,E écrit,,E écrit,RG4T-T1-2016,dbr
81,4auop4T,4aurl40,20,,E écrit,E écrit,OP4T-T1-2016,dbr
82,4aurl4C,4aurl40,40,,Q oral + évaluation continue,O oral,RL4C-L1-2016; RL4C-T1-2016,mus
83,4aurl4T,4aurl40,40,,C évaluation continue,,RL4T-L1-2016,dbr
84,4emmo4T,4auta40,100,,O oral,O oral,MM4T-T1-2016,vdd
85,4emau4T,4emau40,100,,O oral,O oral,AU4T-T1-2016; AU4T-T2-2024,mus
86,4emen4C,4emen40,67,,T écrit + évaluation continue,E écrit,EN4T-T1-2024; EN4T-T2-2024,pch; brg
87,4emen4D,4emen40,33,,E écrit,E écrit,EN4T-T3-2024,s4s
88,4emeo4C,4emeo40,100,T écrit + évaluation continue,,E écrit,EN3C-T2-2017; EO4L-L1-2016,fle
89,4emio4L,4emio40,25,C évaluation continue,,,IO4L-L1-2016,dgy; pch
90,4emio4T,4emio40,75,O oral,,O oral,IO4T-T1-2016,dgy
91,4emae4T,4emra40,50,,E écrit,E écrit,AE4T-T1-2016,
92,4embe4T,4emra40,50,,E écrit,E écrit,AE4T-T2-2023,
93,4maga4T,4mage40,33,E écrit,,E écrit,GA4T-T1-2016; GA4T-T2-2025,
94,4mags4T,4mage40,50,O oral,,O oral,GS4T-T1-2016,mlt
95,4mars4T,4mage40,17,E écrit,,E écrit,RS4T-T1-2018,mlt; p6s
96,5auin5B,5auin50,100,C évaluation continue,,,IN5C-B1-2023; IN5C-B2-2023; IN5C-B3-2023; IN5C-B4-2023; IN5C-L1-2023; IN5C-T1-2023,n3s; bcq; dbr; fky; mat; mus; nth
97,5aumd5T,5aumd50,100,Q oral + évaluation continue,,,MD5L-L1-2016; MD5L-L2-2016; MD5L-L3-2023; MD5L-L4-2023; MD5T-T1-2016; MD5T-T2-2016; MD5T-T3-2023; MD5T-T4-2023,dbr; mus
98,5matf5X,5autf50,100,,F écrit + oral + évaluation continue,D écrit + oral,TF5B-B1-2024,lah; bor; dlh-2; hnr; lur; otj; rch; vml
99,5emaa5C,5emaa50,100,T écrit + évaluation continue,,,AA5C-B1-2023; AA5C-B2-2023; AA5C-B3-2023; AA5C-L1-2023; AA5C-T1-2023,rch; aif; bjt; chv
100,5emai5C,5emai50,100,T écrit + évaluation continue,,,AI5C-B1-2016; AI5C-B2-2023; AI5C-B3-2023; AI5C-B4-2025; AI5C-B5-2025,rch; bcq; mol; thn
101,5emdi5C,5emdi50,100,T écrit + évaluation continue,,,DI5C-B1-2023; DI5C-B2-2023; DI5C-B3-2023,bjt; chv; thn
102,5magf5T,5magf50,100,,E écrit,E écrit,GF5T-T1-2019,mlt
103,5magi5T,5magi50,100,,E écrit,E écrit,GI5T-T1-2019,mlt
104,5mala5T,5mala50,100,,D écrit + oral,D écrit + oral,LA5T-T1-2025,lah; r6j; stv
105,5masg5X,5masg50,100,,C évaluation continue,,SG5B-B1,lah
106,2bcpc2B,2bcpc20,100,,C évaluation continue,,PC2B-L1-2015; PC2B-L2-2015,hnr; ran; vml
107,2bctb2T,2bctc20,33.3,,E écrit,E écrit,TB2T-L1-2022; TB2T-T1-2015,ran
108,2bcts2T,2bctc20,33.3,,O oral,O oral,TS2T-T1-2015,mat
109,2bmto2T,2bctc20,33.3,,E écrit,E écrit,TO2T-T1-2016,bch
110,3bcba3C,3bcba30,100,Q oral + évaluation continue,,O oral,BA3C-L1-2015; BA3C-T1-2015; BA3C-X1-2015,gls; ran
111,3bcbe3B,3bcbe30,50,,C évaluation continue,,BE3B-B1-2015,vrs; gls; ran; sts; vlo
112,3bcbi3T,3bcbe30,20,T écrit + évaluation continue,,E écrit,BI3T-L1-2021; BI3T-T1-2019,sts
113,3bcpa3L,3bcbe30,30,,C évaluation continue,,BE3B-L1-2016; BE3B-T1-2015,ran
114,3bcbo3C,3bcbo30,85,,E écrit,E écrit,BO3C-T1-2015,gbr
115,3bcbo3L,3bcbo30,15,,C évaluation continue,,BO3C-L1-2015,gbr; vrs
116,3bccm3B,3bccm30,20,C évaluation continue,,,CM3C-X2-2015,frn; vlo
117,3bccm3C,3bccm30,80,O oral,,O oral,CM3C-T1-2015; CM3C-T2-2025; CM3C-X1-2020,frn
118,3bcfo3T,3bcfo30,100,,T écrit + évaluation continue,E écrit,FO3T-T1-2022,lpy
119,3bcgc3T,3bcgc30,70,,Q oral + évaluation continue,O oral,GC3T-L1-2019; GC3T-T1-2019,sts
120,3bcgp3T,3bcgc30,30,,F écrit + oral + évaluation continue,D écrit + oral,GP3T-T1-2015; GP3T-X1-2021,sts
121,3bcgo3C,3bcgo30,100,T écrit + évaluation continue,,E écrit,GO3C-B1-2021; GO3C-B2-2024; GO3C-B3-2023; GO3C-L1-2021; GO3C-T1-2015; GO3C-X1-2021; GO3C-X2-2023,hri
122,3bcms3C,3bcms30,100,Q oral + évaluation continue,,O oral,MS3C-T1-2015; MS3C-X1-2023,lfv
123,3bcod3T,3bcod30,50,E écrit,,E écrit,OD3T-T1-2015; OD3T-X1-2021,vml
124,3bcop3C,3bcod30,50,Q oral + évaluation continue,,O oral,OP3C-B1-2019; OP3C-T1-2019,gbr
125,3bctp3C,3bctp30,100,Q oral + évaluation continue,,O oral,TP3C-T1-2015; TP3L-L1-2015,hnr; sts
126,4cobe4B,4cobe40,100,,C évaluation continue,,BE4B-B1-2016; BE4B-T1-2023,gbr; gls
127,4cobp4L,4cobp40,30,C évaluation continue,,,BP4L-L1-2016,gls; vrs
128,4cobp4T,4cobp40,70,O oral,,O oral,BP4T-T1-2016,lpy
129,4cocs4T,4cocs40,75,T écrit + évaluation continue,,E écrit,CH4T-T1-2025; EC4T-T1-2016,vlo; vml
130,4comn4L,4cocs40,25,Q oral + évaluation continue,,,MN4L-L1-2016; MN4L-L2-2023; MN4L-L5-2023,vml
131,4coct4C,4coct40,50,C évaluation continue,,,CT4T-B1-2023; CT4T-B2-2024; CT4T-T2-2023,vlo
132,4coct4T,4coct40,50,O oral,,O oral,CT4T-T1-2016; CT4T-X1-2025,vrs
133,4cogh4T,4cogc40,30,,C évaluation continue,,GH4T-L1-2016; GH4T-T1-2016,vml
134,4cogp4T,4cogc40,40,,O oral,O oral,GP4T-T1-2016,lpy
135,4cogr4T,4cogc40,30,,E écrit,E écrit,GR4T-T1-2016,gbr
136,4cogm4T,4cogo40,100,T écrit + évaluation continue,,E écrit,GF4T-T1-2023; GM4T-T1-2016,m1o
137,4cohu4T,4cohy40,60,,O oral,O oral,HU4T-T1-2018; HU4T-X1-2025,hri
138,4cohy4C,4cohy40,40,,Q oral + évaluation continue,O oral,HY4C-L1-2016; HY4C-T1-2017,vml
139,4cons4L,4cons40,70,,C évaluation continue,,DF4L-L1-2025; DY4L-L1-2025; DY4L-L2-2025; EF4L-L1-2016; EF4L-L2-2016,frn; vml
140,4cons4T,4cons40,30,,O oral,O oral,DA4T-T1-2025; EF4T-T1-2016,frn; vml
141,4copf4T,4copf40,100,Q oral + évaluation continue,,O oral,PF4T-L1-2021; PF4T-T1-2018,gls
142,4coph4C,4coph40,50,,Q oral + évaluation continue,O oral,PH4C-L1-2017; PH4C-L2-2017; PH4C-L3-2022; PH4C-T1-2016,lah; vrs
143,4coph4T,4coph40,50,,O oral,O oral,PH4T-T1-2016,t1d
144,4copr4B,4copr40,100,,C évaluation continue,,PR4B-B0-2024; PR4B-B1-2016; PR4B-B2-2018; PR4B-B3-2024; PR4B-B4-2021; PR4B-B5-2021; PR4B-B6-2021; PR4B-B7-2024; PR4B-B8-2024,gls; gbr; vrs
145,4cops4T,4cops40,100,,Q oral + évaluation continue,O oral,PS4T-T1-2016,x1r
146,5cogc5B,5cogc50,100,C évaluation continue,,,GC5B-B1-2023; GC5B-B2-2023,gbr; gls
147,5coin5B,5coin50,100,C évaluation continue,,,IN5B-B1-2023; IN5B-B2-2023; IN5B-B3-2023; IN5B-B4-2023; IN5B-B5-2023; IN5B-B6-2023,hri; sts; vml
148,5come5L,5come50,100,C évaluation continue,,,ME5L-L1-2023; ME5L-L2-2023; ME5L-L3-2023; ME5L-L4-2023; ME5L-L5-2024; ME5L-L6-2024; ME5L-L7-2023,vml; gbr; gls; ran; vrs
149,5copc5B,5copc50,100,Q oral + évaluation continue,,,PC5B-B1-2023; PC5B-B2-2023; PC5B-B3-2023; PC5B-B4-2023,sts; lah; vrs
150,5corn5B,5corn50,100,C évaluation continue,,,RN5B-B1-2023; RN5B-B2-2023; RN5B-B3-2023; RN5B-B4-2024,vrs; lpy; hri; sts; vlo
151,5matf5X,5cotf50,100,,F écrit + oral + évaluation continue,D écrit + oral,TF5B-B1-2024,lah; bor; dlh-2; hnr; lur; otj; rch; vml
152,4emat4L,4emat40,50,,C évaluation continue,,AT4L-L1-2018,rch; bjt; chv
153,4emat4T,4emat40,50,,E écrit,E écrit,AT4T-T1-2018; AT4T-T2-2023,rch
154,4emcm4T,4emcm40,100,T écrit + évaluation continue,,E écrit,CM4B-B1-2025; CM4B-B2-2025; CM4T-T1-2025; CM4T-T2-2025; CM4T-T3-2025; CM4T-T4-2025,mrf; crt; kis
155,4emcp4B,4emcp40,50,C évaluation continue,,,ST4L-L2-2024,glh
156,4emcp4C,4emcp40,50,C évaluation continue,,,ST4L-L1-2024; ST4L-T1-2024,otj; bcq
157,4emet4C,4emet40,100,E écrit,,E écrit,ET4L-L1-2016; ET4T-T1-2016,kpr
158,4emfe4L,4emfe40,60,,C évaluation continue,,FE4L-L1,mrf; crt
159,4emfe4T,4emfe40,40,,E écrit,E écrit,FE4T-T1,mrf
160,4emma4C,4emma40,100,,O oral,O oral,MA4L-L1-2018; MA4L-L2-2018; MA4T-T1-2018; MA4T-T2-2016,bch; mat
161,4emmm4C,4emmm40,100,,O oral,O oral,MM4T-L1-2023; MM4T-T1-2016; MM4T-T2-2019,vdd
162,4emmn4c,4emmn40,100,,O oral,E écrit,MN4C-L1-2016; MN4C-T1-2016,p4c
163,4emmt4L,4emmt40,25,C évaluation continue,,,MT4L-L1-2016; MT4T-T3-2016,spr; mat
164,4emmt4T,4emmt40,75,O oral,,O oral,MT4T-T1-2016; MT4T-T2-2016,hnt; spr
165,5emcm5C,5emcm50,100,C évaluation continue,,,CM5C-B1-2023; CM5C-B2-2023; CM5C-B3-2023,mrf; bor; crt; kis
166,5emin5C,5emin50,100,C évaluation continue,,,IN5C-B1-2023; IN5C-B2-2023; IN5C-B3-2023; IN5C-B5-2023; IN5C-L1-2023; IN5C-T1-2023,n3s; bcq; dbr; mat; mus; nth
167,5matf5X,5emtf50,100,,F écrit + oral + évaluation continue,D écrit + oral,TF5B-B1-2024,lah; bor; dlh-2; hnr; lur; otj; rch; vml
168,2beea2C,2beea20,66.7,,C évaluation continue,,EA2C-L1-2016; EA2C-T1-2016; EN2C-L1-2016; EN2C-T1-2016,dfr
169,2beea2L,2beea20,33.3,,C évaluation continue,,EA2L-L1-2016,dfr
170,2bepi2C,2bepi20,75,,T écrit + évaluation continue,E écrit,PI2C-L1-2019; PI2C-T1-2019,lur
171,2bepn2L,2bepi20,25,,C évaluation continue,E écrit,PN2L-L1-2015,mch; dlh-2
172,3beal3C,3beal30,100,T écrit + évaluation continue,,E écrit,AL3L-L1-2017; EA3T-T1-2015; SC3C-L2-2025,dlh-2
173,3bsau3C,3bect30,100,,Q oral + évaluation continue,O oral,AU3C-L1-2022; AU3C-T1-2022,dbr
174,3beee3C,3beee30,100,,E écrit,E écrit,EE3C-L1-2017; EE3C-T1-2017,mar
175,3been3C,3been30,80,T écrit + évaluation continue,,E écrit,EN3C-L1-2017; EN3C-T1-2017; EN3C-T2-2017,fle
176,3been3L,3been30,20,T écrit + évaluation continue,,E écrit,EN3C-L2-2017,mar
177,3bebc3T,3befe30,100,,E écrit,E écrit,BE3T-T1-2015; BE3T-X1-2023,
178,3bepe3C,3bepe30,60,,Q oral + évaluation continue,O oral,PE3C-L1-2017,dfr; dlh-2; mch
179,3bepe3U,3bepe30,40,T écrit + évaluation continue,,E écrit,PE3C-L2-2017; PE3C-T2-2015,dlh-2
180,3bepg3L,3bepi30,100,,Q oral + évaluation continue,,PG3L-L1-2018,lrg; l3s
181,3bedb3T,3bepo30,15,E écrit,,E écrit,DB3T-L1-2017; DB3T-T1-2015,lrg
182,3begl3T,3bepo30,20,E écrit,,E écrit,GL3T-T1-2015,l3s
183,3bepi3C,3bepo30,15,E écrit,,E écrit,PI3C-T1-2017,lrg
184,3bepo3L,3bepo30,25,C évaluation continue,,,PO3L-L1-2017,lur
185,3bepo3T,3bepo30,25,O oral,,O oral,PO3T-T1-2015,lur
186,3besp3T,3bess30,60,E écrit,,E écrit,RA3T-L1-2025; RA3T-T1-2016,dbr; dbr; lur
187,3bett3c,3bess30,40,,C évaluation continue,,TT3C-L1-2022,auv
188,3belw3C,3betw30,75,T écrit + évaluation continue,,E écrit,LW3L-L1-2018; NW3L-L1-2023; TW3C-L1-2018,ngy; brn; n3l
189,3betw3T,3betw30,25,E écrit,,E écrit,TW3T-T1-2018,n3l
190,4eiex4L,4eios40,66,,O oral,O oral,OS4T-L1-2023,dlh-2
191,4eitu4T,4eios40,34,,O oral,O oral,TU4T-T1-2017,dfr
192,4eoai4B,4eoai40,20,,Q oral + évaluation continue,,IA4L-L1-2021,fky
193,4eoai4C,4eoai40,80,,Q oral + évaluation continue,O oral,IA4T-T1-2017; IA4T-T2-2017,
194,4eotd4L,4eodd40,100,Q oral + évaluation continue,,O oral,AL4T-T1-2017,j3l
195,4eoee4B,4eoee40,60,,O oral,O oral,EE4T-T2-2018; EP4B-B1-2018,dfr
196,4eoee4C,4eoee40,40,E écrit,,E écrit,EE4L-L1-2018; EE4T-T1-2018,l2e
197,4eoeg4L,4eoep40,34,Q oral + évaluation continue,,O oral,EG4L-L1-2016,mch
198,4eoeg4T,4eoep40,66,Q oral + évaluation continue,,O oral,EG4T-T1-2016,mch
199,4eome4T,4eome40,100,,Q oral + évaluation continue,Q oral + évaluation continue,ME4T-T1-2019,mch
200,4eope4B,4eope40,60,,C évaluation continue,,EP4L-L2-2022; PE4B-B1-2018; PE4B-B2-2025,mar; brn; fle
201,4eorp4L,4eope40,40,C évaluation continue,,,PR4L-L1-2019; RP4L-L1-2019; RP4L-L2-2025,mar; brn; mat
202,4eobs4T,4eore40,10,E écrit,,E écrit,BS4T-T1-2017,rch
203,4eocr4T,4eore40,60,O oral,,O oral,CR4T-T1-2016,dsm
204,4eore4L,4eore40,30,C évaluation continue,,,RE4L-L2-2016,n3l
205,4eosd4C,4eosd40,50,,O oral,O oral,SD4L-L1-2016; SD4T-T1-2018,dlh-2
206,4eotd4c,4eosd40,50,,O oral,O oral,TD4L-L1-2016,s3v
207,4eosi4C,4eosi40,100,O oral,,O oral,SI4C-L1-2025,mch; mar
208,4eotc4T,4eote40,50,,O oral,O oral,TC4T-T1-2016,jsp
209,4eote4T,4eote40,50,,O oral,O oral,TE4T-T1-2016,jsp
210,4eoti4C,4eoti40,50,O oral,,O oral,TI4L-L1-2018,lur
211,4eoti4L,4eoti40,50,C évaluation continue,,C évaluation continue,TI4L-L2-2018,s3v
212,5eobm5B,5eobm50,40,Q oral + évaluation continue,,O oral,BM5T-B1-2025; BM5T-B2-2025; BM5T-B3-2025,dfr
213,5eobm5L,5eobm50,30,C évaluation continue,,,BM5T-L1-2025,s3v
214,5eobm5T,5eobm50,30,O oral,,O oral,BM5T-T1-2025,jsp
215,5eoee5T,5eoee50,100,E écrit,,E écrit,EE5T-L1-2025; EE5T-L2-2025,fle; dlh-2
216,5eoes5T,5eoes50,100,Q oral + évaluation continue,,O oral,ES5T-B1-2025; ES5T-B2-2025; ES5T-B3-2025; ES5T-L1-2025; ES5T-T1-2025; ES5T-T2-2025,dlh-2; mar; mch
217,5eohf5B,5eohf50,60,F écrit + oral + évaluation continue,,D écrit + oral,HF5B-B1-2025; HF5B-B2-2025; HF5B-B3-2025,mch
218,5eohf5L,5eohf50,20,Q oral + évaluation continue,,O oral,HF5L-L1-2025; HF5T-T1-2025,jsp; auv; fle
219,5eohf5T,5eohf50,20,Q oral + évaluation continue,,O oral,HF5T-T2-2025,dfr
220,5matf5X,5eotf50,100,,F écrit + oral + évaluation continue,D écrit + oral,TF5B-B1-2024,lah; bor; dlh-2; hnr; lur; otj; rch; vml
221,4eiad4C,4eiai40,60,,O oral,O oral,IA4T-T1-2017; IA4T-T2-2017,
222,4eiad4L,4eiai40,40,,Q oral + évaluation continue,,IA4L-L1-2021; IA4L-L2-2022,fky
223,4eial4T,4eial40,100,Q oral + évaluation continue,,O oral,AL4T-T1-2017; DD4L-L1-2017,j3l
224,4eiam4C,4eiam40,100,,Q oral + évaluation continue,O oral,AM4L-L1-2018; AM4L-T1-2016,ngy
225,4eiap4L,4eiaw40,100,,Q oral + évaluation continue,O oral,AW4L-L1-2016,ngy
226,4eidb4L,4eidb40,60,C évaluation continue,,,DB4L-L1-2016,lrg
227,4eidb4T,4eidb40,40,C évaluation continue,,,DB4L-L2-2025,brn
228,4eiir4C,4einm40,100,,Q oral + évaluation continue,O oral,IR4C-L1-2018; IR4C-T1-2018,n3l
229,4eisa4L,4eisa40,34,O oral,,O oral,SA4L-L1-2017,lur
230,4eisa4T,4eisa40,33,Q oral + évaluation continue,,O oral,SA4T-T1-2017,ngy
231,4eitm4L,4eisa40,33,O oral,,O oral,TI4L-L1-2018,lur
232,4eisx4C,4eisd40,100,,O oral,O oral,SD4L-L1-2016; SD4T-T1-2018,dlh-2
233,5eiad5L,5eiad50,100,C évaluation continue,,,AD5L-L1-2017,lur
234,5eiai5B,5eiai50,100,Q oral + évaluation continue,,O oral,AI5C-L1-2020; AI5C-L2-2023,fky; lur
235,5eidc5C,5eidc50,100,E écrit,,E écrit,DC5C-L2-2019; DC5C-L3-2021,n3s; lfr
