id,course_id,course_raccourci_id,title,credits,periods,details_url,mandatory,bloc_id,formation_id,language,icon
18,2bain20,IN2L,Informatique,4,Q1,https://plus.ecam.be/public/fiche/2025/2bain20,1,bloc_2,automatisation,FR,Code
19,2bala20,LA2T,Langues,3,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bala20,1,bloc_2,automatisation,FR,Language
20,2bamf20,MF2C,Mécanique des fluides et transfert de chaleur,4,Q2,https://plus.ecam.be/public/fiche/2025/2bamf20,1,bloc_2,automatisation,FR,Build
21,2baom20,OM2C,Outils mathématiques,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2baom20,1,bloc_2,automatisation,FR,Functions
22,2baph20,PH2C,Ondes. optique et physique moderne,5,Q1,https://plus.ecam.be/public/fiche/2025/2baph20,1,bloc_2,automatisation,FR,Science
23,2barm20,RM2C,"Stabilité, déformation et résistance des structures",6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2barm20,1,bloc_2,automatisation,FR,Build
24,2bath20,TH2C,Thermodynamique,5,Q1,https://plus.ecam.be/public/fiche/2025/2bath20,1,bloc_2,automatisation,FR,Build
25,2batm20,TM2L,Mesures,3,Q2,https://plus.ecam.be/public/fiche/2025/2batm20,1,bloc_2,automatisation,FR,Engineering
26,2bmpm20,PM2B,Projet EM,4,Q2,https://plus.ecam.be/public/fiche/2025/2bmpm20,1,bloc_2,automatisation,FR,Assignment
27,2bmto20,TE2C,Technologie EM,4,Q2,https://plus.ecam.be/public/fiche/2025/2bmto20,1,bloc_2,automatisation,FR,Engineering
28,3base30,EN3T,Comptabilité et entrepreneuriat,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3base30,1,bloc_3,automatisation,FR,Work
29,3basg30,SG3B,Stage,10,Q2,https://plus.ecam.be/public/fiche/2025/3basg30,1,bloc_3,automatisation,FR,Assignment
30,3bmcp30,PM3B,Projet machine industrielle,7,Q1,https://plus.ecam.be/public/fiche/2025/3bmcp30,1,bloc_3,automatisation,FR,Assignment
31,3bmcv30,CV3B,HVAC,8,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmcv30,1,bloc_3,automatisation,FR,Bolt
32,3bmea30,EA3C,Electrotechnique,7,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmea30,1,bloc_3,automatisation,FR,Bolt
33,3bmel30,AE3T,Electronique et applications,3,Q2,https://plus.ecam.be/public/fiche/2025/3bmel30,1,bloc_3,automatisation,FR,Bolt
34,3bmet30,ET3B,"Réseaux, appareillages et schématiques électriques",3,Q1,https://plus.ecam.be/public/fiche/2025/3bmet30,1,bloc_3,automatisation,FR,Bolt
35,3bmis30,RP3L,Instrumentation,3,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmis30,1,bloc_3,automatisation,FR,Engineering
36,3bmra30,RA3L,"Signals, systems and tools",5,Q1,https://plus.ecam.be/public/fiche/2025/3bmra30,1,bloc_3,automatisation,FR,Bolt
37,3bmrg30,RG3L,Régulation,6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmrg30,1,bloc_3,automatisation,FR,Engineering
38,3bmsi30,SI3B,Système d’information,3,Q2,https://plus.ecam.be/public/fiche/2025/3bmsi30,1,bloc_3,automatisation,FR,Code
39,4auat40,AI4L,Applied automation,6,Q2,https://plus.ecam.be/public/fiche/2025/4auat40,1,bloc_4,automatisation,FR,Engineering
40,4auds40,DS4T,Dynamics of mechanical and thermal systems,3,Q2,https://plus.ecam.be/public/fiche/2025/4auds40,1,bloc_4,automatisation,FR,Build
41,4auet40,ET4L,Electrical Drives,6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/4auet40,1,bloc_4,automatisation,FR,Bolt
42,4aumd40,MD4L,Modelling and Simulation of dynamical systems,4,Q1,https://plus.ecam.be/public/fiche/2025/4aumd40,1,bloc_4,automatisation,FR,Engineering
43,4aure40,RE4L,Digital control,4,Q1,https://plus.ecam.be/public/fiche/2025/4aure40,1,bloc_4,automatisation,FR,Engineering
44,4aurg40,RG4C,Advanced control 1,4,Q1,https://plus.ecam.be/public/fiche/2025/4aurg40,1,bloc_4,automatisation,FR,Engineering
45,4aurl40,OP4T,Advanced control 2,6,Q2,https://plus.ecam.be/public/fiche/2025/4aurl40,1,bloc_4,automatisation,FR,Engineering
46,4auta40,MM4T,Power cycles,3,Q2,https://plus.ecam.be/public/fiche/2025/4auta40,1,bloc_4,automatisation,FR,Bolt
47,4emau40,AU4T,Practical process control,4,Q2,https://plus.ecam.be/public/fiche/2025/4emau40,1,bloc_4,automatisation,FR,Share
48,4emen40,EN4T,Sustainable energy,4,Q2,https://plus.ecam.be/public/fiche/2025/4emen40,1,bloc_4,automatisation,FR,Code
49,4emeo40,EN3C,Electronique numérique,3,Q1,https://plus.ecam.be/public/fiche/2025/4emeo40,1,bloc_4,automatisation,FR,Bolt
50,4emio40,IO4L,Installations opératrices,4,Q1,https://plus.ecam.be/public/fiche/2025/4emio40,1,bloc_4,automatisation,FR,Engineering
51,4emra40,AE4T,Electrical installations,3,Q2,https://plus.ecam.be/public/fiche/2025/4emra40,1,bloc_4,automatisation,FR,Bolt
52,4mage40,GA4T,Gestion,6,Q1,https://plus.ecam.be/public/fiche/2025/4mage40,1,bloc_4,automatisation,FR,Work
53,5auin50,IN5C,Industrie 4.0,4,Q1,https://plus.ecam.be/public/fiche/2025/5auin50,1,bloc_5,automatisation,FR,Engineering
54,5aumd50,MD5L,System identification Project,4,Q1,https://plus.ecam.be/public/fiche/2025/5aumd50,1,bloc_5,automatisation,FR,Assignment
55,5autf50,TF5B,Travail de fin d'études,20,Q2,https://plus.ecam.be/public/fiche/2025/5autf50,1,bloc_5,automatisation,FR,Code
56,5emaa50,AA5C,Projet d'architectures d'automatisation,4,Q1,https://plus.ecam.be/public/fiche/2025/5emaa50,1,bloc_5,automatisation,FR,Code
57,5emai50,AI5C,Projet de dimensionnement des entrainements électriques,4,Q1,https://plus.ecam.be/public/fiche/2025/5emai50,1,bloc_5,automatisation,FR,Code
58,5emdi50,DI5C,Projet de dimensionnement des installations électriques,4,Q1,https://plus.ecam.be/public/fiche/2025/5emdi50,1,bloc_5,automatisation,FR,Assignment
59,5magf50,GF5T,Gestion et stratégie financière,4,Q2,https://plus.ecam.be/public/fiche/2025/5magf50,1,bloc_5,automatisation,FR,Work
60,5magi50,GI5T,Economie,4,Q2,https://plus.ecam.be/public/fiche/2025/5magi50,1,bloc_5,automatisation,FR,Work
61,5mala50,LA5T,Langues,2,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/5mala50,1,bloc_5,automatisation,FR,Language
62,5masg50,SG5B,Insertion professionnelle,10,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/5masg50,1,bloc_5,automatisation,FR,Work
63,1bach10,CH1C,Chimie,5,Q1,https://plus.ecam.be/public/fiche/2025/1bach10,1,bloc_1,construction,FR,Science
64,1baci10,CI1C,Circuits électriques,4,Q1,https://plus.ecam.be/public/fiche/2025/1baci10,1,bloc_1,construction,FR,Bolt
65,1baem10,EM1C,Electricité et outils mathématiques,5,Q2,https://plus.ecam.be/public/fiche/2025/1baem10,1,bloc_1,construction,FR,Functions
66,1baic10,IC1L,Informatique et communication,4,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/1baic10,1,bloc_1,construction,FR,Code
67,1bamc10,MC1C,Sciences du mouvement - cinématique,3,Q2,https://plus.ecam.be/public/fiche/2025/1bamc10,1,bloc_1,construction,FR,Science
68,1bamd10,MD1C,Sciences du mouvement - dynamique,7,Q2,https://plus.ecam.be/public/fiche/2025/1bamd10,1,bloc_1,construction,FR,Science
69,1bame10,ME1C,Méthodologie scientifique,3,Q1,https://plus.ecam.be/public/fiche/2025/1bame10,1,bloc_1,construction,FR,Science
70,1bamm10,CM1C,Sciences des matériaux,5,Q2,https://plus.ecam.be/public/fiche/2025/1bamm10,1,bloc_1,construction,FR,Science
71,1baph10,CP1C,Physique et fluides,3,Q1,https://plus.ecam.be/public/fiche/2025/1baph10,1,bloc_1,construction,FR,Science
72,1bapi10,PI1B,Projet intégrateur,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/1bapi10,1,bloc_1,construction,FR,Assignment
73,1bapm10,PM1C,Pont vers le supérieur: mathématiques,6,Q1,https://plus.ecam.be/public/fiche/2025/1bapm10,1,bloc_1,construction,FR,Functions
74,1bast10,ST1C,Stabilité,5,Q1,https://plus.ecam.be/public/fiche/2025/1bast10,1,bloc_1,construction,FR,Build
75,1bate10,TC1C,Technologie,5,Q1,https://plus.ecam.be/public/fiche/2025/1bate10,1,bloc_1,construction,FR,Engineering
76,2bach20,CH2C,Chimie du vivant et environnement,6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bach20,1,bloc_2,construction,FR,Science
77,2badt20,DT2L,Dessin technique,2,Q1,https://plus.ecam.be/public/fiche/2025/2badt20,1,bloc_2,construction,FR,Build
78,2bael20,EL2C,Electricité,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bael20,1,bloc_2,construction,FR,Bolt
79,2baeo20,EO2L,Electronique,4,Q1,https://plus.ecam.be/public/fiche/2025/2baeo20,1,bloc_2,construction,FR,Bolt
80,2bain20,IN2L,Informatique,4,Q1,https://plus.ecam.be/public/fiche/2025/2bain20,1,bloc_2,construction,FR,Code
81,2bala20,LA2T,Langues,3,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bala20,1,bloc_2,construction,FR,Language
82,2bamf20,MF2C,Mécanique des fluides et transfert de chaleur,4,Q2,https://plus.ecam.be/public/fiche/2025/2bamf20,1,bloc_2,construction,FR,Build
83,2baom20,OM2C,Outils mathématiques,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2baom20,1,bloc_2,construction,FR,Functions
84,2baph20,PH2C,Ondes. optique et physique moderne,5,Q1,https://plus.ecam.be/public/fiche/2025/2baph20,1,bloc_2,construction,FR,Science
85,2barm20,RM2C,"Stabilité, déformation et résistance des structures",6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2barm20,1,bloc_2,construction,FR,Build
86,2bath20,TH2C,Thermodynamique,5,Q1,https://plus.ecam.be/public/fiche/2025/2bath20,1,bloc_2,construction,FR,Build
87,2batm20,TM2L,Mesures,3,Q2,https://plus.ecam.be/public/fiche/2025/2batm20,1,bloc_2,construction,FR,Engineering
88,2bcpc20,PC2B,Projet construction,4,Q2,https://plus.ecam.be/public/fiche/2025/2bcpc20,1,bloc_2,construction,FR,Assignment
89,2bctc20,TB2T,Technologie des matériaux,4,Q2,https://plus.ecam.be/public/fiche/2025/2bctc20,1,bloc_2,construction,FR,Engineering
90,3base30,EN3T,Comptabilité et entrepreneuriat,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3base30,1,bloc_3,construction,FR,Work
91,3basg30,SG3B,Stage,10,Q2,https://plus.ecam.be/public/fiche/2025/3basg30,1,bloc_3,construction,FR,Assignment
92,3bcba30,BA3C,Béton armé,4,Q1,https://plus.ecam.be/public/fiche/2025/3bcba30,1,bloc_3,construction,FR,Build
93,3bcbe30,BE3B,Bureau d'études,7,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bcbe30,1,bloc_3,construction,FR,Engineering
94,3bcbo30,BO3C,Construction bois,4,Q2,https://plus.ecam.be/public/fiche/2025/3bcbo30,1,bloc_3,construction,FR,Build
95,3bccm30,CM3C,Constructions métalliques,4,Q1,https://plus.ecam.be/public/fiche/2025/3bccm30,1,bloc_3,construction,FR,Build
96,3bcfo30,FO3T,Fondations superficielles,3,Q2,https://plus.ecam.be/public/fiche/2025/3bcfo30,1,bloc_3,construction,FR,Build
97,3bcgc30,GC3T,Gestion et technique de chantier,3,Q2,https://plus.ecam.be/public/fiche/2025/3bcgc30,1,bloc_3,construction,FR,Work
98,3bcgo30,GO3C,Projet de physique et gros-oeuvre du bâtiment,4,Q1,https://plus.ecam.be/public/fiche/2025/3bcgo30,1,bloc_3,construction,FR,Science
99,3bcms30,MS3C,Mécanique des sols,4,Q1,https://plus.ecam.be/public/fiche/2025/3bcms30,1,bloc_3,construction,FR,Build
100,3bcod30,OD3T,Eléments de structures,5,Q1,https://plus.ecam.be/public/fiche/2025/3bcod30,1,bloc_3,construction,FR,Build
101,3bctp30,TP3C,Topographie,4,Q1,https://plus.ecam.be/public/fiche/2025/3bctp30,1,bloc_3,construction,FR,Build
102,3bmsi30,SI3B,Système d’information,3,Q2,https://plus.ecam.be/public/fiche/2025/3bmsi30,1,bloc_3,construction,FR,Code
103,4cobe40,BE4B,Bureau d'études- bâtiments,4,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/4cobe40,1,bloc_4,construction,FR,Engineering
104,4cobp40,BP4L,Béton précontraint,4,Q1,https://plus.ecam.be/public/fiche/2025/4cobp40,1,bloc_4,construction,FR,Code
105,4cocs40,CH4T,Complément de structure,7,Q1,https://plus.ecam.be/public/fiche/2025/4cocs40,1,bloc_4,construction,FR,Build
106,4coct40,CT4T,Conception et assemblages de charpentes,4,Q1,https://plus.ecam.be/public/fiche/2025/4coct40,1,bloc_4,construction,FR,Build
107,4cogc40,GH4T,Génie civil,5,Q2,https://plus.ecam.be/public/fiche/2025/4cogc40,1,bloc_4,construction,FR,Build
108,4cogo40,GF4T,Géotechnique,3,Q1,https://plus.ecam.be/public/fiche/2025/4cogo40,1,bloc_4,construction,FR,Build
109,4cohy40,HU4T,Hydraulique,5,Q2,https://plus.ecam.be/public/fiche/2025/4cohy40,1,bloc_4,construction,FR,Build
110,4cons40,DA4T,Modélisation numérique des structures,5,Q2,https://plus.ecam.be/public/fiche/2025/4cons40,1,bloc_4,construction,FR,Build
111,4copf40,PF4T,Préfabrication béton,3,Q1,https://plus.ecam.be/public/fiche/2025/4copf40,1,bloc_4,construction,FR,Build
112,4coph40,PH4C,Physique du bâtiment et techniques spéciales,5,Q2,https://plus.ecam.be/public/fiche/2025/4coph40,1,bloc_4,construction,FR,Science
113,4copr40,PR4B,Projet - défi structure,5,Q2,https://plus.ecam.be/public/fiche/2025/4copr40,1,bloc_4,construction,FR,Build
114,4cops40,PS4T,Procédés d'exécution sols,4,Q2,https://plus.ecam.be/public/fiche/2025/4cops40,1,bloc_4,construction,FR,Build
115,4mage40,GA4T,Gestion,6,Q1,https://plus.ecam.be/public/fiche/2025/4mage40,1,bloc_4,construction,FR,Work
116,5cogc50,GC5B,Projet de génie civil,5,Q1,https://plus.ecam.be/public/fiche/2025/5cogc50,1,bloc_5,construction,FR,Build
117,5coin50,IN5B,Innovation,3,Q1,https://plus.ecam.be/public/fiche/2025/5coin50,1,bloc_5,construction,FR,EmojiObjects
118,5come50,ME5L,Modélisation et essais,3,Q1,https://plus.ecam.be/public/fiche/2025/5come50,1,bloc_5,construction,FR,Code
119,5copc50,PC5B,Gestion de projets de construction,4,Q1,https://plus.ecam.be/public/fiche/2025/5copc50,1,bloc_5,construction,FR,Assignment
120,5corn50,RN5B,Projet de rénovation des bâtiments,5,Q1,https://plus.ecam.be/public/fiche/2025/5corn50,1,bloc_5,construction,FR,Assignment
121,5cotf50,TF5B,Travail de fin d'études,20,Q2,https://plus.ecam.be/public/fiche/2025/5cotf50,1,bloc_5,construction,FR,Code
122,5magf50,GF5T,Gestion et stratégie financière,4,Q2,https://plus.ecam.be/public/fiche/2025/5magf50,1,bloc_5,construction,FR,Work
123,5magi50,GI5T,Economie,4,Q2,https://plus.ecam.be/public/fiche/2025/5magi50,1,bloc_5,construction,FR,Work
124,5mala50,LA5T,Langues,2,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/5mala50,1,bloc_5,construction,FR,Language
125,5masg50,SG5B,Insertion professionnelle,10,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/5masg50,1,bloc_5,construction,FR,Work
126,1bach10,CH1C,Chimie,5,Q1,https://plus.ecam.be/public/fiche/2025/1bach10,1,bloc_1,electromecanique,FR,Science
127,1baci10,CI1C,Circuits électriques,4,Q1,https://plus.ecam.be/public/fiche/2025/1baci10,1,bloc_1,electromecanique,FR,Bolt
128,1baem10,EM1C,Electricité et outils mathématiques,5,Q2,https://plus.ecam.be/public/fiche/2025/1baem10,1,bloc_1,electromecanique,FR,Functions
129,1baic10,IC1L,Informatique et communication,4,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/1baic10,1,bloc_1,electromecanique,FR,Code
130,1bamc10,MC1C,Sciences du mouvement - cinématique,3,Q2,https://plus.ecam.be/public/fiche/2025/1bamc10,1,bloc_1,electromecanique,FR,Science
131,1bamd10,MD1C,Sciences du mouvement - dynamique,7,Q2,https://plus.ecam.be/public/fiche/2025/1bamd10,1,bloc_1,electromecanique,FR,Science
132,1bame10,ME1C,Méthodologie scientifique,3,Q1,https://plus.ecam.be/public/fiche/2025/1bame10,1,bloc_1,electromecanique,FR,Science
133,1bamm10,CM1C,Sciences des matériaux,5,Q2,https://plus.ecam.be/public/fiche/2025/1bamm10,1,bloc_1,electromecanique,FR,Science
134,1baph10,CP1C,Physique et fluides,3,Q1,https://plus.ecam.be/public/fiche/2025/1baph10,1,bloc_1,electromecanique,FR,Science
135,1bapi10,PI1B,Projet intégrateur,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/1bapi10,1,bloc_1,electromecanique,FR,Assignment
136,1bapm10,PM1C,Pont vers le supérieur: mathématiques,6,Q1,https://plus.ecam.be/public/fiche/2025/1bapm10,1,bloc_1,electromecanique,FR,Functions
137,1bast10,ST1C,Stabilité,5,Q1,https://plus.ecam.be/public/fiche/2025/1bast10,1,bloc_1,electromecanique,FR,Build
138,1bate10,TC1C,Technologie,5,Q1,https://plus.ecam.be/public/fiche/2025/1bate10,1,bloc_1,electromecanique,FR,Engineering
139,2bach20,CH2C,Chimie du vivant et environnement,6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bach20,1,bloc_2,electromecanique,FR,Science
140,2badt20,DT2L,Dessin technique,2,Q1,https://plus.ecam.be/public/fiche/2025/2badt20,1,bloc_2,electromecanique,FR,Build
141,2bael20,EL2C,Electricité,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bael20,1,bloc_2,electromecanique,FR,Bolt
142,2baeo20,EO2L,Electronique,4,Q1,https://plus.ecam.be/public/fiche/2025/2baeo20,1,bloc_2,electromecanique,FR,Bolt
143,2bain20,IN2L,Informatique,4,Q1,https://plus.ecam.be/public/fiche/2025/2bain20,1,bloc_2,electromecanique,FR,Code
144,2bala20,LA2T,Langues,3,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2bala20,1,bloc_2,electromecanique,FR,Language
145,2bamf20,MF2C,Mécanique des fluides et transfert de chaleur,4,Q2,https://plus.ecam.be/public/fiche/2025/2bamf20,1,bloc_2,electromecanique,FR,Build
146,2baom20,OM2C,Outils mathématiques,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2baom20,1,bloc_2,electromecanique,FR,Functions
147,2baph20,PH2C,Ondes. optique et physique moderne,5,Q1,https://plus.ecam.be/public/fiche/2025/2baph20,1,bloc_2,electromecanique,FR,Science
148,2barm20,RM2C,"Stabilité, déformation et résistance des structures",6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/2barm20,1,bloc_2,electromecanique,FR,Build
149,2bath20,TH2C,Thermodynamique,5,Q1,https://plus.ecam.be/public/fiche/2025/2bath20,1,bloc_2,electromecanique,FR,Build
150,2batm20,TM2L,Mesures,3,Q2,https://plus.ecam.be/public/fiche/2025/2batm20,1,bloc_2,electromecanique,FR,Engineering
151,2bmpm20,PM2B,Projet EM,4,Q2,https://plus.ecam.be/public/fiche/2025/2bmpm20,1,bloc_2,electromecanique,FR,Assignment
152,2bmto20,TE2C,Technologie EM,4,Q2,https://plus.ecam.be/public/fiche/2025/2bmto20,1,bloc_2,electromecanique,FR,Engineering
153,3base30,EN3T,Comptabilité et entrepreneuriat,5,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3base30,1,bloc_3,electromecanique,FR,Work
154,3basg30,SG3B,Stage,10,Q2,https://plus.ecam.be/public/fiche/2025/3basg30,1,bloc_3,electromecanique,FR,Assignment
155,3bmcp30,PM3B,Projet machine industrielle,7,Q1,https://plus.ecam.be/public/fiche/2025/3bmcp30,1,bloc_3,electromecanique,FR,Assignment
156,3bmcv30,CV3B,HVAC,8,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmcv30,1,bloc_3,electromecanique,FR,Bolt
157,3bmea30,EA3C,Electrotechnique,7,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmea30,1,bloc_3,electromecanique,FR,Bolt
158,3bmel30,AE3T,Electronique et applications,3,Q2,https://plus.ecam.be/public/fiche/2025/3bmel30,1,bloc_3,electromecanique,FR,Bolt
159,3bmet30,ET3B,"Réseaux, appareillages et schématiques électriques",3,Q1,https://plus.ecam.be/public/fiche/2025/3bmet30,1,bloc_3,electromecanique,FR,Bolt
160,3bmis30,RP3L,Instrumentation,3,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmis30,1,bloc_3,electromecanique,FR,Engineering
161,3bmra30,RA3L,"Signals, systems and tools",5,Q1,https://plus.ecam.be/public/fiche/2025/3bmra30,1,bloc_3,electromecanique,FR,Bolt
162,3bmrg30,RG3L,Régulation,6,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/3bmrg30,1,bloc_3,electromecanique,FR,Engineering
163,3bmsi30,SI3B,Système d’information,3,Q2,https://plus.ecam.be/public/fiche/2025/3bmsi30,1,bloc_3,electromecanique,FR,Code
164,4emat40,AT4L,Sequential automation,4,Q2,https://plus.ecam.be/public/fiche/2025/4emat40,1,bloc_4,electromecanique,FR,Engineering
165,4emau40,AU4T,Practical process control,4,Q2,https://plus.ecam.be/public/fiche/2025/4emau40,1,bloc_4,electromecanique,FR,Share
166,4emcm40,CM4B,Elements de structure et de mécanique,5,Q1,https://plus.ecam.be/public/fiche/2025/4emcm40,1,bloc_4,electromecanique,FR,Build
167,4emcp40,ST4L,Méthodes CNC,2,Q1,https://plus.ecam.be/public/fiche/2025/4emcp40,1,bloc_4,electromecanique,FR,Engineering
168,4emen40,EN4T,Sustainable energy,4,Q2,https://plus.ecam.be/public/fiche/2025/4emen40,1,bloc_4,electromecanique,FR,Code
169,4emeo40,EN3C,Electronique numérique,3,Q1,https://plus.ecam.be/public/fiche/2025/4emeo40,1,bloc_4,electromecanique,FR,Bolt
170,4emet40,ET4L,Electrical drives,4,Q1,https://plus.ecam.be/public/fiche/2025/4emet40,1,bloc_4,electromecanique,FR,Bolt
171,4emfe40,FE4L,Finite element method,2,Q2,https://plus.ecam.be/public/fiche/2025/4emfe40,1,bloc_4,electromecanique,FR,Build
172,4emio40,IO4L,Installations opératrices,4,Q1,https://plus.ecam.be/public/fiche/2025/4emio40,1,bloc_4,electromecanique,FR,Engineering
173,4emma40,MA4L,Metallic materials and welding,6,Q2,https://plus.ecam.be/public/fiche/2025/4emma40,1,bloc_4,electromecanique,FR,Build
174,4emmm40,MM4T,Power cycles,5,Q2,https://plus.ecam.be/public/fiche/2025/4emmm40,1,bloc_4,electromecanique,FR,Bolt
175,4emmn40,MN4C,Advanced maintenance technologies,3,Q2,https://plus.ecam.be/public/fiche/2025/4emmn40,1,bloc_4,electromecanique,FR,Code
176,4emmt40,MT4L,Matériaux et technologie de mise en oeuvre,5,Q1,https://plus.ecam.be/public/fiche/2025/4emmt40,1,bloc_4,electromecanique,FR,Engineering
177,4emra40,AE4T,Electrical installations,3,Q2,https://plus.ecam.be/public/fiche/2025/4emra40,1,bloc_4,electromecanique,FR,Bolt
178,4mage40,GA4T,Gestion,6,Q1,https://plus.ecam.be/public/fiche/2025/4mage40,1,bloc_4,electromecanique,FR,Work
179,5emaa50,AA5C,Projet d'architectures d'automatisation,4,Q1,https://plus.ecam.be/public/fiche/2025/5emaa50,1,bloc_5,electromecanique,FR,Code
180,5emai50,AI5C,Projet de dimensionnement des entrainements électriques,4,Q1,https://plus.ecam.be/public/fiche/2025/5emai50,1,bloc_5,electromecanique,FR,Code
181,5emcm50,CM5C,Bureau d'étude mécanique,4,Q1,https://plus.ecam.be/public/fiche/2025/5emcm50,1,bloc_5,electromecanique,FR,Engineering
182,5emdi50,DI5C,Projet de dimensionnement des installations électriques,4,Q1,https://plus.ecam.be/public/fiche/2025/5emdi50,1,bloc_5,electromecanique,FR,Assignment
183,5emin50,IN5C,Projet industrie 4.0,4,Q1,https://plus.ecam.be/public/fiche/2025/5emin50,1,bloc_5,electromecanique,FR,Assignment
184,5emtf50,TF5B,Travail de fin d'études,20,Q2,https://plus.ecam.be/public/fiche/2025/5emtf50,1,bloc_5,electromecanique,FR,Code
185,5magf50,GF5T,Gestion et stratégie financière,4,Q2,https://plus.ecam.be/public/fiche/2025/5magf50,1,bloc_5,electromecanique,FR,Work
186,5magi50,GI5T,Economie,4,Q2,https://plus.ecam.be/public/fiche/2025/5magi50,1,bloc_5,electromecanique,FR,Work
187,5mala50,LA5T,Langues,2,"Q1,Q2",https://plus.ecam.be/public/fiche/2025/5mala50,1,bloc_5,electromecanique,FR,Language
